scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.92, 0.8160, SOLVE_P, 0.90, 0, 29, 0, 29, 1439
dyngrid, 0.97, 0.8060, SOLVE_P, 0.90, 0, 35, 0, 35, 1605
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 1, 27, 1893, 31, 1247
dyngrid, 0.02, 0.9960, SOLVE_P, 0.90, 0, 29, 429, 29, 1765
dyngrid, 0.06, 0.9880, SOLVE_P, 0.90, 0, 29, 204, 29, 1260
dyngrid, 0.10, 0.9800, SOLVE_P, 0.90, 0, 29, 135, 29, 1075
dyngrid, 0.12, 0.9760, SOLVE_P, 0.90, 0, 30, 114, 30, 920
dyngrid, 0.14, 0.9720, SOLVE_P, 0.90, 24, 2645, 407780, 57, 5097
dyngrid, 0.18, 0.9640, SOLVE_P, 0.90, 25, 1077, 41230, 64, 2227
dyngrid, 0.20, 0.9600, SOLVE_P, 0.90, 11, 388, 10991, 42, 1805
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 0, 29, 57, 29, 717
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 46, 46, 46, 905
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 40, 40, 40, 781
