scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.52, 0.8960, SOLVE_P, 0.90, 0, 52, 0, 52, 1761
dyngrid, 0.57, 0.8860, SOLVE_P, 0.90, 0, 79, 0, 79, 2028
dyngrid, 0.62, 0.8760, SOLVE_P, 0.90, 0, 97, 0, 97, 2408
dyngrid, 0.67, 0.8660, SOLVE_P, 0.90, 0, 57, 0, 57, 2016
dyngrid, 0.72, 0.8560, SOLVE_P, 0.90, 0, 29, 0, 29, 1382
dyngrid, 0.77, 0.8460, SOLVE_P, 0.90, 0, 29, 0, 29, 1258
dyngrid, 0.82, 0.8360, SOLVE_P, 0.90, 0, 46, 0, 46, 2110
dyngrid, 0.87, 0.8260, SOLVE_P, 0.90, 0, 56, 0, 56, 2062
dyngrid, 0.92, 0.8160, SOLVE_P, 0.90, 0, 29, 0, 29, 1330
dyngrid, 0.97, 0.8060, SOLVE_P, 0.90, 0, 30, 0, 30, 742
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 1, 7, 70, 31, 462
dyngrid, 0.04, 0.9920, SOLVE_P, 0.90, 0, 29, 299, 29, 934
dyngrid, 0.10, 0.9800, SOLVE_P, 0.90, 11, 4008, 7759, 37, 5431
dyngrid, 0.12, 0.9760, SOLVE_P, 0.90, 0, 30, 114, 30, 704
dyngrid, 0.14, 0.9720, SOLVE_P, 0.90, 0, 30, 87, 30, 635
dyngrid, 0.16, 0.9680, SOLVE_P, 0.90, 0, 29, 84, 29, 648
dyngrid, 0.18, 0.9640, SOLVE_P, 0.90, 0, 29, 57, 29, 530
dyngrid, 0.20, 0.9600, SOLVE_P, 0.90, 0, 30, 59, 30, 527
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 160, 6635, 7669, 235, 3751
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 48, 48, 48, 674
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 29, 29, 29, 451
dyngrid, 0.37, 0.9260, SOLVE_P, 0.90, 0, 55, 55, 55, 657
dyngrid, 0.42, 0.9160, SOLVE_P, 0.90, 0, 29, 29, 29, 510
dyngrid, 0.47, 0.9060, SOLVE_P, 0.90, 0, 45, 45, 45, 652
dyngrid, 0.52, 0.8960, SOLVE_P, 0.90, 0, 44, 0, 44, 577
dyngrid, 0.57, 0.8860, SOLVE_P, 0.90, 0, 85, 0, 85, 831
dyngrid, 0.62, 0.8760, SOLVE_P, 0.90, 0, 60, 0, 60, 787
dyngrid, 0.67, 0.8660, SOLVE_P, 0.90, 0, 62, 0, 62, 907
dyngrid, 0.72, 0.8560, SOLVE_P, 0.90, 0, 60, 0, 60, 642
dyngrid, 0.77, 0.8460, SOLVE_P, 0.90, 0, 29, 0, 29, 1353
dyngrid, 0.82, 0.8360, SOLVE_P, 0.90, 0, 31, 0, 31, 494
dyngrid, 0.87, 0.8260, SOLVE_P, 0.90, 0, 45, 0, 45, 742
dyngrid, 0.92, 0.8160, SOLVE_P, 0.90, 0, 61, 0, 61, 896
dyngrid, 0.97, 0.8060, SOLVE_P, 0.90, 0, 35, 0, 35, 664
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 1, 33, 390, 34, 1009
dyngrid, 0.04, 0.9920, SOLVE_P, 0.90, 1, 81, 511, 31, 1306
dyngrid, 0.06, 0.9880, SOLVE_P, 0.90, 0, 30, 212, 30, 792
dyngrid, 0.10, 0.9800, SOLVE_P, 0.90, 0, 29, 135, 29, 715
dyngrid, 0.14, 0.9720, SOLVE_P, 0.90, 93, 10198, 13787, 127, 7035
dyngrid, 0.16, 0.9680, SOLVE_P, 0.90, 20, 2318, 3208, 52, 2735
dyngrid, 0.18, 0.9640, SOLVE_P, 0.90, 0, 29, 57, 29, 541
dyngrid, 0.20, 0.9600, SOLVE_P, 0.90, 10, 448, 539, 42, 1004
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 0, 29, 57, 29, 617
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 29, 29, 29, 690
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 133, 133, 133, 1411
dyngrid, 0.37, 0.9260, SOLVE_P, 0.90, 0, 111, 111, 111, 1490
