scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout
dyngrid, 0.10, 0.9800, SOLVE_M, 0.90, 0, 2868, 5066, 31, 4822, ontime
dyngrid, 0.12, 0.9760, SOLVE_M, 0.90, 0, 8252, 13309, 55, 10118, timeout
dyngrid, 0.14, 0.9720, SOLVE_M, 0.90, 0, 10459, 14222, 109, 10120, timeout
dyngrid, 0.16, 0.9680, SOLVE_M, 0.90, 0, 1800, 2472, 68, 3409, ontime
dyngrid, 0.18, 0.9640, SOLVE_M, 0.90, 0, 731, 982, 101, 1998, ontime
dyngrid, 0.20, 0.9600, SOLVE_M, 0.90, 0, 19, 37, 19, 591, ontime
dyngrid, 0.22, 0.9560, SOLVE_M, 0.90, 0, 61, 86, 21, 702, ontime
dyngrid, 0.27, 0.9460, SOLVE_M, 0.90, 0, 69, 69, 69, 1197, ontime
dyngrid, 0.32, 0.9360, SOLVE_M, 0.90, 0, 112, 112, 112, 1780, ontime
dyngrid, 0.37, 0.9260, SOLVE_M, 0.90, 0, 126, 126, 126, 1706, ontime
dyngrid, 0.42, 0.9160, SOLVE_M, 0.90, 0, 21, 21, 21, 770, ontime
dyngrid, 0.47, 0.9060, SOLVE_M, 0.90, 0, 98, 98, 98, 1888, ontime
dyngrid, 0.52, 0.8960, SOLVE_M, 0.90, 0, 55, 0, 55, 1120, ontime
dyngrid, 0.57, 0.8860, SOLVE_M, 0.90, 0, 19, 0, 19, 590, ontime
dyngrid, 0.62, 0.8760, SOLVE_M, 0.90, 0, 19, 0, 19, 772, ontime
