scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.00, 1.0000, RANDOM, 0.90, 0, 70, 293, 70, 1242, ontime, 80.90000000000005
dyngrid, 0.02, 0.9960, RANDOM, 0.90, 0, 51, 238, 51, 1091, ontime, 54.69999999999999
dyngrid, 0.04, 0.9920, RANDOM, 0.90, 0, 820, 2043, 820, 4196, ontime, 880.0999999999984
dyngrid, 0.06, 0.9880, RANDOM, 0.90, 0, 19, 124, 19, 656, ontime, 19.799999999999997
dyngrid, 0.08, 0.9840, RANDOM, 0.90, 0, 46, 187, 46, 942, ontime, 48.5
dyngrid, 0.10, 0.9800, RANDOM, 0.90, 0, 46, 147, 46, 870, ontime, 49.599999999999994
dyngrid, 0.12, 0.9760, RANDOM, 0.90, 0, 52, 147, 52, 968, ontime, 54.79999999999999
dyngrid, 0.14, 0.9720, RANDOM, 0.90, 0, 81, 198, 81, 1188, ontime, 90.40000000000002
dyngrid, 0.16, 0.9680, RANDOM, 0.90, 0, 36, 94, 36, 774, ontime, 38.49999999999999
dyngrid, 0.18, 0.9640, RANDOM, 0.90, 0, 382, 763, 382, 2860, ontime, 406.1999999999998
